t,sensor_V,control_T,control_V,heat_range,heat_%
1560444105.5577674,+1.4810,+001.39,+1.7258,0,000
1560444123.5786045,+1.4813,+001.39,+1.7259,0,000
1560444141.5994265,+1.4815,+001.39,+1.7260,0,000
1560444159.6203816,+1.4818,+001.39,+1.7261,0,000
1560444177.6413038,+1.4821,+001.39,+1.7264,0,000
1560444195.6621976,+1.4823,+001.39,+1.7269,0,000
1560444213.6832168,+1.4826,+001.39,+1.7274,0,000
1560444231.7043319,+1.4828,+001.39,+1.7277,0,000
1560444249.7251837,+1.4831,+001.39,+1.7283,0,000
1560444267.7461038,+1.4834,+001.39,+1.7290,0,000
1560444285.767067,+1.4836,+001.39,+1.7298,0,000
1560444303.7880695,+1.4839,+001.39,+1.7307,0,000
1560444321.808858,+1.4841,+001.39,+1.7317,0,000
1560444339.8295772,+1.4844,+001.39,+1.7328,0,000
1560444357.8504357,+1.4846,+001.39,+1.7333,0,000
1560444375.8710093,+1.4848,+001.39,+1.7336,0,000
1560444393.8917823,+1.4851,+001.39,+1.7336,0,000
1560444411.9128952,+1.4853,+001.39,+1.7337,0,000
1560444429.9333708,+1.4855,+001.39,+1.7339,0,000
1560444447.9542377,+1.4856,+001.39,+1.7341,0,000
1560444465.9753373,+1.4858,+001.39,+1.7343,0,000
1560444483.996354,+1.4860,+001.39,+1.7344,0,000
1560444502.017351,+1.4862,+001.39,+1.7345,0,000
1560444520.0385191,+1.4863,+001.39,+1.7346,0,000
1560444538.0596085,+1.4865,+001.39,+1.7346,0,000
1560444556.0795524,+1.4867,+001.39,+1.7347,0,000
1560444574.1006088,+1.4868,+001.39,+1.7348,0,000
1560444592.1217499,+1.4870,+001.39,+1.7346,0,000
1560444610.1423266,+1.4871,+001.39,+1.7347,0,000
1560444628.163001,+1.4873,+001.39,+1.7350,0,000
1560444646.184013,+1.4874,+001.39,+1.7353,0,000
1560444664.2050602,+1.4875,+001.39,+1.7355,0,000
1560444682.2259238,+1.4877,+001.39,+1.7358,0,000
1560444700.24642,+1.4878,+001.39,+1.7360,0,000
1560444718.2673104,+1.4879,+001.39,+1.7362,0,000
1560444736.2880201,+1.4880,+001.39,+1.7363,0,000
1560444754.309161,+1.4881,+001.39,+1.7365,0,000
1560444772.3301568,+1.4881,+001.39,+1.7366,0,000
1560444790.3506615,+1.4882,+001.39,+1.7367,0,000
1560444808.3713343,+1.4883,+001.39,+1.7368,0,000
1560444826.3921962,+1.4884,+001.39,+1.7368,0,000
1560444844.4128716,+1.4884,+001.39,+1.7369,0,000
1560444862.4332495,+1.4885,+001.39,+1.7369,0,000
1560444880.4535463,+1.4886,+001.39,+1.7369,0,000
1560444898.4727912,+1.4886,+001.39,+1.7370,0,000
1560444916.493688,+1.4887,+001.39,+1.7371,0,000
