t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1561162095.485693,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162117.5113368,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162139.536982,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162161.562515,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162183.5882063,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162205.6138008,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162227.6392634,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162249.6648104,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162271.6887474,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162293.714454,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162315.7400875,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162337.765576,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162359.7911663,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162381.8166466,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162403.8419335,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162425.8672485,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162447.892777,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162469.9179072,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162491.9436488,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162513.9691768,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162535.9949274,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162558.0207775,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162580.0464182,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162602.0721838,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162624.0977015,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162646.123289,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162668.1490507,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162690.1744254,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162712.200108,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162734.2257943,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162756.2514532,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162778.277206,+0.5707,+296.3,+0.5278,0,000,+324.9
1561162800.3027031,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162822.3278756,+0.5707,+296.3,+0.5278,0,000,+324.9
1561162844.3532968,+0.5707,+296.3,+0.5278,0,000,+324.9
1561162866.379036,+0.5707,+296.3,+0.5278,0,000,+324.9
1561162888.404361,+0.5707,+296.3,+0.5278,0,000,+324.9
1561162910.4299967,+0.5707,+296.3,+0.5278,0,000,+324.9
1561162932.455392,+0.5707,+296.3,+0.5278,0,000,+324.9
1561162954.4810479,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162976.5066261,+0.5707,+296.3,+0.5278,0,000,+324.9
1561162998.5320437,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163020.5577137,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163042.5831878,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163064.6086407,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163086.6343553,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163108.6600976,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163130.685739,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163152.711519,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163174.7369244,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163196.7626598,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163218.7884068,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163240.8140318,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163262.8397946,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163284.8653665,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163306.8904195,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163328.916148,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163350.940644,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163372.9662664,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163394.9918866,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163417.017397,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163439.0431604,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163461.0688305,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163483.0944896,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163505.120237,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163527.1459105,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163549.171526,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163571.1972864,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163593.2228804,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163615.2486362,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163637.2742321,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163659.2997856,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163681.325363,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163703.350941,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163725.3762882,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163747.401921,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163769.427535,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163791.4531524,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163813.4789436,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163835.5047307,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163857.5304825,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163879.5562737,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163901.5820248,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163923.6078212,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163945.6336055,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163967.6592877,+0.5707,+296.3,+0.5278,0,000,+324.9
1561163989.6851215,+0.5707,+296.3,+0.5278,0,000,+324.9
