t,kelvin,sensor,htr_range 1,htr_lvl 1,setp 1
1581924907.4437873,"+00.0000,+298.219,+00.0000,+00.0000","+0.00000,+0.52320,+0.00000,+0.00000",0,+000.0,+100.510
1581924912.7719462,"+00.0000,+298.220,+00.0000,+00.0000","+0.00000,+0.52319,+0.00000,+0.00000",0,+000.0,+100.510
1581924918.10723,"+00.0000,+298.221,+00.0000,+00.0000","+0.00000,+0.52319,+0.00000,+0.00000",0,+000.0,+100.510
1581924923.443948,"+00.0000,+298.217,+00.0000,+00.0000","+0.00000,+0.52320,+0.00000,+0.00000",0,+000.0,+100.510
1581924928.7730136,"+00.0000,+298.220,+00.0000,+00.0000","+0.00000,+0.52319,+0.00000,+0.00000",0,+000.0,+100.510
1581924934.1081216,"+00.0000,+298.223,+00.0000,+00.0000","+0.00000,+0.52319,+0.00000,+0.00000",0,+000.0,+100.510
1581924939.446385,"+00.0000,+298.225,+00.0000,+00.0000","+0.00000,+0.52318,+0.00000,+0.00000",0,+000.0,+100.510
1581924944.7749238,"+00.0000,+298.226,+00.0000,+00.0000","+0.00000,+0.52318,+0.00000,+0.00000",0,+000.0,+100.510
1581924950.109887,"+00.0000,+298.227,+00.0000,+00.0000","+0.00000,+0.52318,+0.00000,+0.00000",0,+000.0,+100.510
1581924955.4478457,"+00.0000,+298.226,+00.0000,+00.0000","+0.00000,+0.52318,+0.00000,+0.00000",0,+000.0,+100.510
1581924960.777406,"+00.0000,+298.230,+00.0000,+00.0000","+0.00000,+0.52317,+0.00000,+0.00000",0,+000.0,+100.510
1581924966.1100938,"+00.0000,+298.231,+00.0000,+00.0000","+0.00000,+0.52317,+0.00000,+0.00000",0,+000.0,+100.510
1581924971.449273,"+00.0000,+298.233,+00.0000,+00.0000","+0.00000,+0.52316,+0.00000,+0.00000",0,+000.0,+100.510
1581924976.7775378,"+00.0000,+298.237,+00.0000,+00.0000","+0.00000,+0.52315,+0.00000,+0.00000",0,+000.0,+100.510
1581924982.112742,"+00.0000,+298.236,+00.0000,+00.0000","+0.00000,+0.52316,+0.00000,+0.00000",0,+000.0,+100.510
1581924987.450586,"+00.0000,+298.250,+00.0000,+00.0000","+0.00000,+0.52313,+0.00000,+0.00000",0,+000.0,+100.510
1581924992.7760508,"+00.0000,+298.255,+00.0000,+00.0000","+0.00000,+0.52311,+0.00000,+0.00000",0,+000.0,+100.510
1581924998.1134655,"+00.0000,+298.256,+00.0000,+00.0000","+0.00000,+0.52311,+0.00000,+0.00000",0,+000.0,+100.510
1581925003.4518538,"+00.0000,+298.259,+00.0000,+00.0000","+0.00000,+0.52310,+0.00000,+0.00000",0,+000.0,+100.510
1581925008.7804983,"+00.0000,+298.258,+00.0000,+00.0000","+0.00000,+0.52310,+0.00000,+0.00000",0,+000.0,+100.510
1581925014.1153073,"+00.0000,+298.261,+00.0000,+00.0000","+0.00000,+0.52310,+0.00000,+0.00000",0,+000.0,+100.510
1581925019.4519057,"+00.0000,+298.255,+00.0000,+00.0000","+0.00000,+0.52311,+0.00000,+0.00000",0,+000.0,+100.510
1581925024.7819762,"+00.0000,+298.248,+00.0000,+00.0000","+0.00000,+0.52313,+0.00000,+0.00000",0,+000.0,+100.510
1581925030.1166968,"+00.0000,+298.242,+00.0000,+00.0000","+0.00000,+0.52314,+0.00000,+0.00000",0,+000.0,+100.510
1581925035.454842,"+00.0000,+298.239,+00.0000,+00.0000","+0.00000,+0.52315,+0.00000,+0.00000",0,+000.0,+100.510
1581925040.7841303,"+00.0000,+298.234,+00.0000,+00.0000","+0.00000,+0.52316,+0.00000,+0.00000",0,+000.0,+100.510
1581925046.1180866,"+00.0000,+298.228,+00.0000,+00.0000","+0.00000,+0.52317,+0.00000,+0.00000",0,+000.0,+100.510
1581925051.4559305,"+00.0000,+298.227,+00.0000,+00.0000","+0.00000,+0.52318,+0.00000,+0.00000",0,+000.0,+100.510
1581925056.7852857,"+00.0000,+298.227,+00.0000,+00.0000","+0.00000,+0.52318,+0.00000,+0.00000",0,+000.0,+100.510
1581925062.1199036,"+00.0000,+298.229,+00.0000,+00.0000","+0.00000,+0.52317,+0.00000,+0.00000",0,+000.0,+100.510
1581925067.4577413,"+00.0000,+298.230,+00.0000,+00.0000","+0.00000,+0.52317,+0.00000,+0.00000",0,+000.0,+100.510
1581925072.7870722,"+00.0000,+298.229,+00.0000,+00.0000","+0.00000,+0.52317,+0.00000,+0.00000",0,+000.0,+100.510
1581925078.1210253,"+00.0000,+298.229,+00.0000,+00.0000","+0.00000,+0.52317,+0.00000,+0.00000",0,+000.0,+100.510
1581925083.4590585,"+00.0000,+298.233,+00.0000,+00.0000","+0.00000,+0.52316,+0.00000,+0.00000",0,+000.0,+100.510
1581925088.7874782,"+00.0000,+298.234,+00.0000,+00.0000","+0.00000,+0.52316,+0.00000,+0.00000",0,+000.0,+100.510
1581925094.1224136,"+00.0000,+298.236,+00.0000,+00.0000","+0.00000,+0.52316,+0.00000,+0.00000",0,+000.0,+100.510
1581925099.4604547,"+00.0000,+298.228,+00.0000,+00.0000","+0.00000,+0.52318,+0.00000,+0.00000",0,+000.0,+100.510
1581925104.7884312,"+00.0000,+298.220,+00.0000,+00.0000","+0.00000,+0.52319,+0.00000,+0.00000",0,+000.0,+100.510
1581925110.1216748,"+00.0000,+298.218,+00.0000,+00.0000","+0.00000,+0.52320,+0.00000,+0.00000",0,+000.0,+100.510
1581925115.4616928,"+00.0000,+298.214,+00.0000,+00.0000","+0.00000,+0.52321,+0.00000,+0.00000",0,+000.0,+100.510
1581925120.791183,"+00.0000,+298.209,+00.0000,+00.0000","+0.00000,+0.52322,+0.00000,+0.00000",0,+000.0,+100.510
1581925126.1250565,"+00.0000,+298.202,+00.0000,+00.0000","+0.00000,+0.52324,+0.00000,+0.00000",0,+000.0,+100.510
1581925131.4626853,"+00.0000,+298.205,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581925136.7902687,"+00.0000,+298.205,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581925142.126027,"+00.0000,+298.202,+00.0000,+00.0000","+0.00000,+0.52324,+0.00000,+0.00000",0,+000.0,+100.510
1581925147.4646697,"+00.0000,+298.203,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581925152.793057,"+00.0000,+298.206,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581925158.1255348,"+00.0000,+298.212,+00.0000,+00.0000","+0.00000,+0.52322,+0.00000,+0.00000",0,+000.0,+100.510
1581925163.465936,"+00.0000,+298.220,+00.0000,+00.0000","+0.00000,+0.52319,+0.00000,+0.00000",0,+000.0,+100.510
1581925168.7947645,"+00.0000,+298.231,+00.0000,+00.0000","+0.00000,+0.52317,+0.00000,+0.00000",0,+000.0,+100.510
